102610738182;P.O. Box 60195 8128 Paphos;;PAPHOS GARDENS APTS (Cat. A);vestahol@logos.cy.net;+357 26 882 000;Пафос;Кипр
102610001557;P.O. BOX 40640, 6306 LARNACA, CYPRUS;;SAN REMO;info@sanremo.cyprus.com;+35724657090;Ларнака;Кипр
102610338399;BP 224, Hammamet Nord 8050, Tunisia;;LE ZENITH;;(+216) 72 278 488;Хаммамет;Тунис
102610001304;;130;BAIYOKE SUITE HOTEL;baiyokesuite@baiyoke.co.th;+66 2255 7755, +66 2255 441;Бангкок;Таиланд
102610764243;John Kennedy 6 P.O. Box 30045 5340 Ayia Napa Cyprus;;EURONAPA HOTEL APARTMENTS;euronapahotel@cytanet.com.cy;+357 23 722 444;Айя-Напа;Кипр
102610001188;Pattaya 2nd Road, 213;213;WELCOME PLAZA HOTEL;welcomeg@loxinfo.co.th;6638427071;Паттайя;Таиланд
102610001315;178 Moo 1, bophut beach, koh samui, suratthani 84320 Thailand;;PEACE RESORT;info@peaceresort.com;+66 77 425 357;о.Самуи;Таиланд
102610001547;Corner Athens Ave. & Pierides Str. P.O. Box 40827 Larnaca;;LES PALMIERS;lespalmiershotel@cytanet.com.cy;+35724627200;Ларнака;Кипр
102610526747;30 Ampelakion Street, Potamos Yermasoyeias, Limassol, 4046 Cyprus;;VALANA HOTEL CLASS B;valanahotel@cytanet.com.cy;+357 25312840;Лимассол;Кипр
102610001459;Zone Touristique Mahdia BP, 61;61;THALASSA MAHDIA;r;(+ 216) 73 682 333;Махдия;Тунис
102610001448;Zone Touristique, Skanes 5000, Monastir;r;HOUDA GOLF & BEACH CLUB;r;(+216) 73 521 800;Монастир;Тунис
102610001395;72, Avenue des Nations Unies,72, 8050 Hammamet, Tunisia;;RESIDENCE MAHMOUD;;(+216) 72 283 723;Хаммамет;Тунис
102610314662;;;PINNACLE SAMUI RESORT & SPA;;;о.Самуи;Таиланд
102610311562;488/800 Damrongrak Road Bo Bae Tower 10100 Bangkok;;PRINCE PALACE;;006626281111;Бангкок;Таиланд
102610316289;10/2 Patak 18, Patak Road, Karon Beach Munag Phuket 83100 Thailand;;TUANA PHULIN RESORT;info@thephulin.com;+6676398327;о.Пхукет. Пляж Карон;Таиланд
102610001265;;;CHANALAI GARDEN RESORT;;;о.Пхукет. Пляж Ката;Таиланд
102610001187;427 Moo 12 Jomtien Beach Rd, Pattaya City Chonburi 20150, Thailand;;WELCOME JOMTIEN BEACH HOTEL;sales@welcomejomtienpattaya.com;+66 (0)2 231 8234;Паттайя;Таиланд
102610001381;;;LES ORANGERS BEACH RESORT & BUNGALOW;;(+216) 72 280 144;Хаммамет;Тунис
102610349097;Calle 9 e Bulevar y Ave. Kawama Varadero Matanzas;;TORTUGA;reservas@villatortuga.tur.cu;5345614747;Варадеро;Куба
102610001458;Route Touristique, B.P. 98, Mahdia 05111, Tunisie;;VINCCI EL MANSOUR;;(+216) 73 68 26 96;Махдия;Тунис
102610350476;Ave. 1ra. y Calle 13, Varadero, Matanzas;;ACUAZUL;gerente@acua.hor.tur.cu;(53 45) 66-7132;Варадеро;Куба
102610517250;Cayo Santa Maria Jardines del Rey 52610 Caibarien Villa Clara;;MELIA CAYO SANTA MARIA;sol.cayo.santamaria@solmeliacuba.com;525342350200;Кайо-Санта-Мария;Куба
102610367906;Embudu Island South Male Atoll;;EMBUDU VILLAGE;embvil@dhivehinet.net.mv;009606640063;Мальдивский архипелаг;Мальдивы
102611474661;Playa Pesquero,Rafael Freyre, Holguin, Cuba;;PLAYA PESQUERO;jefe.ventas@ppesquero.co.cu;5324433867;Ольгин;Куба
102610367907;Biyadoo Island South Male Atoll Republic of Maldives;;BIYADHOO ISLAND RESORT;;;Мальдивский архипелаг;Мальдивы
102610383010;Meedhuffushi South Nilandhe Atoll;;SUN AQUA VILU REEF;1@1.com;;Мальдивский архипелаг;Мальдивы
102610367908;Rasdhu Atoll North Ari Atoll Republic of Maldives;;VELIGANDU ISLAND RESORT (only adults 18+);reservations@veliganduisland.com;009606660519;Мальдивский архипелаг;Мальдивы
102610367909;Villingilivaru Island South Ari Atoll Republic of Maldives;;RANVELI VILLAGE;info@ranvelivillage.com;9606680826;Мальдивский архипелаг;Мальдивы
102610367910;North Male' Atoll Meerufenfushi;;MEERU ISLAND RESORT;reservations@meeru.com;+960 6643157;Мальдивский архипелаг;Мальдивы
102610367911;Medhufushi Island Meemu Atoll;;MEDHUFUSHI ISLAND RESORT;medhufushi@aaa.com.mv;+ 960 672 0026;Мальдивский архипелаг;Мальдивы
102610367947;Komandoo Maldives Island Resort Lhaviyani Atoll Republic of Maldives;;KOMANDOO ISLAND RESORT (only adults 18+);1@1.com;;Мальдивский архипелаг;Мальдивы
102610367912;Lhaviyani Atoll, Republic of Maldives;;KUREDU ISLAND RESORT;info@kuredu.com;009606620337;Мальдивский архипелаг;Мальдивы
102610313692;98 Moo 9 Pattaya Beach Road, Nong Prue, Banglamung, Chonburi, Pattaya;;TROPICANA HOTEL;rsvn@tropicanathailand.com;+6638428645;Паттайя;Таиланд
102610367948;Dhiffushi South Ari Atoll;;HOLIDAY ISLAND RESORT;info@holiday-island.com.mv;94115531611;Мальдивский архипелаг;Мальдивы
102610381683;Filitheyo Island Faafu Atoll;;FILITHEYO ISLAND RESORT;fili@aaa.com.mv;+960 674 0025;Мальдивский архипелаг;Мальдивы
102610367950;Eriyadu Island, North Male Atoll, Republic of Maldives;;ERIYADU ISLAND RESORT;sales-eriyadu@pch.com.mv;9606444487;Мальдивский архипелаг;Мальдивы
102610367953;Ellaidhoo North Male Atoll;;ELLAIDHOO MALDIVES BY CINNAMON (ex.CHAAYA REEF ELLAIDHOO);info@ceylontours.com;9606660669;Мальдивский архипелаг;Мальдивы
102610367952;Meemu Atoll, Republic of Maldives;;CINNAMON HAKURA HURA MALDIVES;;+960 33 13 78;Мальдивский архипелаг;Мальдивы
